"ts","throughput_bps"
2026-06-13 19:25:42.000 +0700,38322592
2026-06-13 19:25:41.000 +0700,38368736
2026-06-13 19:25:40.000 +0700,38807104
2026-06-13 19:25:39.000 +0700,37492000
2026-06-13 19:25:38.000 +0700,24123984
2026-06-13 19:25:37.000 +0700,38472560
2026-06-13 19:25:36.000 +0700,38011120
2026-06-13 19:25:35.000 +0700,38691744
2026-06-13 19:25:34.000 +0700,38599456
2026-06-13 19:25:33.000 +0700,38645600
2026-06-13 19:25:32.000 +0700,38876320
2026-06-13 19:25:31.000 +0700,38703280
2026-06-13 19:25:30.000 +0700,38345664
2026-06-13 19:25:29.000 +0700,38910928
2026-06-13 19:25:28.000 +0700,23384944
2026-06-13 19:25:27.000 +0700,38876320
2026-06-13 19:25:26.000 +0700,38772496
2026-06-13 19:25:25.000 +0700,38818640
2026-06-13 19:25:24.000 +0700,38553312
2026-06-13 19:25:23.000 +0700,38472560
2026-06-13 19:25:22.000 +0700,38599456
2026-06-13 19:25:21.000 +0700,38299520
2026-06-13 19:25:20.000 +0700,38264912
2026-06-13 19:25:19.000 +0700,39280080
2026-06-13 19:25:18.000 +0700,37307424
2026-06-13 19:25:17.000 +0700,3192720
2026-06-13 19:25:16.000 +0700,2128832
2026-06-13 19:25:15.000 +0700,3191664
2026-06-13 19:25:14.000 +0700,2129360
2026-06-13 19:25:13.000 +0700,3193248
2026-06-13 19:25:12.000 +0700,2129360
2026-06-13 19:25:11.000 +0700,2463952
2026-06-13 19:25:10.000 +0700,2858656
2026-06-13 19:25:09.000 +0700,2129360
2026-06-13 19:25:08.000 +0700,3194832
2026-06-13 19:25:07.000 +0700,2131472
2026-06-13 19:25:06.000 +0700,3195888
2026-06-13 19:25:05.000 +0700,2130416
2026-06-13 19:25:04.000 +0700,3191664
2026-06-13 19:25:03.000 +0700,1072656
2026-06-13 19:24:59.000 +0700,343648
2026-06-13 19:24:58.000 +0700,2850736
2026-06-13 19:24:57.000 +0700,2125136
2026-06-13 19:24:56.000 +0700,2125136
2026-06-13 19:24:55.000 +0700,3187440
2026-06-13 19:24:54.000 +0700,2125136
2026-06-13 19:24:53.000 +0700,2124608
2026-06-13 19:24:52.000 +0700,3189024
2026-06-13 19:24:51.000 +0700,2125664
2026-06-13 19:24:50.000 +0700,2126720
2026-06-13 19:24:49.000 +0700,2125664
2026-06-13 19:24:48.000 +0700,3189552
2026-06-13 19:24:47.000 +0700,2128304
2026-06-13 19:24:46.000 +0700,2128304
2026-06-13 19:24:45.000 +0700,3191664
2026-06-13 19:24:44.000 +0700,2128832
2026-06-13 19:24:43.000 +0700,2128832
2026-06-13 19:24:42.000 +0700,3191664
2026-06-13 19:24:41.000 +0700,2128304
2026-06-13 19:24:40.000 +0700,2128832
2026-06-13 19:24:39.000 +0700,2393920
2026-06-13 19:24:38.000 +0700,2929216
2026-06-13 19:24:37.000 +0700,2129888
2026-06-13 19:24:36.000 +0700,2129888
2026-06-13 19:24:35.000 +0700,3198528
2026-06-13 19:24:34.000 +0700,2134112
2026-06-13 19:24:33.000 +0700,2134112
2026-06-13 19:24:32.000 +0700,3130080
2026-06-13 19:24:31.000 +0700,2204672
2026-06-13 19:24:30.000 +0700,6538976
2026-06-13 19:24:29.000 +0700,37556928
2026-06-13 19:24:28.000 +0700,15837120
2026-06-13 19:24:27.000 +0700,24986976
2026-06-13 19:24:26.000 +0700,38368736
2026-06-13 19:24:25.000 +0700,38207232
2026-06-13 19:24:24.000 +0700,38126480
2026-06-13 19:24:23.000 +0700,38241840
2026-06-13 19:24:22.000 +0700,38195696
2026-06-13 19:24:21.000 +0700,37434320
2026-06-13 19:24:20.000 +0700,38034192
2026-06-13 19:24:19.000 +0700,42257840
2026-06-13 19:24:18.000 +0700,38553312
2026-06-13 19:24:17.000 +0700,38784032
2026-06-13 19:24:16.000 +0700,38253376
